task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
51	ba/75ffe0	21395	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	376.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (376.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:23.299	2025-06-22 19:04:23.397	2025-06-22 19:04:24.023	724ms	1s	-	-	-	-	-	-	-	-	-	-	-	-	-
53	28/55684e	21427	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	401	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (401)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:24.026	2025-06-22 19:04:24.128	2025-06-22 19:04:24.183	157ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
54	8d/39140e	21460	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	401.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (401.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:24.186	2025-06-22 19:04:24.286	2025-06-22 19:04:24.829	643ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
55	bb/03a566	21491	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	426	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (426)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:24.831	2025-06-22 19:04:24.932	2025-06-22 19:04:24.995	164ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
56	b3/7347f7	21534	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	426.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (426.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:24.998	2025-06-22 19:04:25.096	2025-06-22 19:04:25.796	798ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
58	bc/17e76c	21566	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	451.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (451.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:25.798	2025-06-22 19:04:25.901	2025-06-22 19:04:26.235	437ms	1s	-	-	-	-	-	-	-	-	-	-	-	-	-
57	a7/f99055	21596	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	451	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (451)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:26.240	2025-06-22 19:04:26.337	2025-06-22 19:04:26.422	182ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
59	f7/e80907	21628	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	476	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (476)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:26.425	2025-06-22 19:04:26.527	2025-06-22 19:04:26.587	162ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
60	7a/b3a6c4	21662	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	476.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (476.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:26.590	2025-06-22 19:04:26.691	2025-06-22 19:04:26.920	330ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
62	4f/0dc898	21692	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	501.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (501.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:26.923	2025-06-22 19:04:27.023	2025-06-22 19:04:28.231	1.3s	2s	-	-	-	-	-	-	-	-	-	-	-	-	-
61	8c/f86454	21735	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	501	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (501)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:28.238	2025-06-22 19:04:28.336	2025-06-22 19:04:28.416	178ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
64	3d/cbaeff	21771	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	51	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (51)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:28.419	2025-06-22 19:04:28.521	2025-06-22 19:04:28.580	161ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
63	70/049076	21803	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	51.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (51.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:28.583	2025-06-22 19:04:28.683	2025-06-22 19:04:29.322	739ms	1s	-	-	-	-	-	-	-	-	-	-	-	-	-
24	8b/2289ee	20379	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (21)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:04:12.164	2025-06-22 19:04:12.257	2025-06-22 19:04:33.493	21.3s	21s	-	-	-	-	-	-	-	-	-	-	-	-	-
66	ba/7a506a	21875	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	76	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (76)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:33.508	2025-06-22 19:04:33.595	2025-06-22 19:04:33.678	170ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
67	30/049d44	21933	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:CollectTrees	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:CollectTrees	COMPLETED	0	-	quay.io/ggruber193/automated-window-sliding-base_image	1	4h	-	6 GB	1	2025-06-22 19:04:33.682	2025-06-22 19:04:33.781	2025-06-22 19:04:33.953	271ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
68	2d/5b5a72	21994	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:COLLECT_BACKBONE_MIDPOINT_TREES	collect_backbone_midpoint	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:COLLECT_BACKBONE_MIDPOINT_TREES (collect_backbone_midpoint)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:33.956	2025-06-22 19:04:34.054	2025-06-22 19:04:34.192	236ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
65	05/bccba0	21874	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	76.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (76.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:33.504	2025-06-22 19:04:33.594	2025-06-22 19:04:34.202	698ms	1s	-	-	-	-	-	-	-	-	-	-	-	-	-
69	09/feba15	22154	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:COLLECT_ROOTED_TREES	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:COLLECT_ROOTED_TREES	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:34.214	2025-06-22 19:04:34.307	2025-06-22 19:04:34.386	172ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
